term,type,estimate,std_error,statistic,p_value,label,feature,anova_p,Delta_adj_R2,adj_r2_full,BIC,adjusted_p,anova_fdr_p
s(Age),smooth,NA,NA,10.578096788782057,0.0016707670825906185,S.Li.post._right,CT,0.018541274338073784,-0.03596822292790958,0.04159467378202886,393.8511690077463,0.004737153047686428,0.04241816719070118
s(Age),smooth,NA,NA,14.332197805691893,1.034021231883786e-4,S.Olf._left,meanD_resid,0.003656826300066898,-0.03586977860509577,0.0448607795260485,871.4089828806859,4.504366462178684e-4,0.01174616932748761
s(Age),smooth,NA,NA,18.778384201289523,5.271688716668166e-6,S.F.inter._left,CT,3.667776944203714e-4,-0.03581276351394591,0.03333789768161177,-3.957603903126696,3.898597702094132e-5,0.0017672016185708804
s(Age),smooth,NA,NA,12.746094672218746,3.6550463968909597e-4,F.Coll._left,maxD_resid,0.009271335976849229,-0.035150566082120194,0.034549689138689055,1512.877912156081,0.0013515171560596804,0.024569040338650455
s(Age),smooth,NA,NA,23.95875157256315,1.293186518869227e-6,OCCIPITAL_left,CT,1.6046349216368525e-4,-0.03449543975766678,0.040675106612165446,-2.335565632803707,1.2618335155645255e-5,9.611231955757912e-4
s(Age),smooth,NA,NA,19.260387701477516,1.3854175641148103e-5,S.T.s._right,SW,0.003398185738508859,0.03430683666349921,0.06550484737886964,-288.1968911361349,9.178391362260618e-5,0.01102676596781446
s(Age),smooth,NA,NA,37.83060964341384,0,F.I.P._right,SW,1.996420294141492e-9,0.03266198326314562,0.0642570671689362,-343.55204109542035,0,7.935770669212431e-8
s(Age),smooth,NA,NA,12.850195917136606,7.406740339310769e-5,F.Coll._right,maxD_resid,6.368481723434918e-4,-0.03187061652334533,0.028010662378702866,1454.322603694525,3.568702163486098e-4,0.002700236250736405
s(Age),smooth,NA,NA,23.898851879584562,1.3648294814316841e-6,S.Pa.int._right,SL_resid,1.6015570504997718e-6,-0.03120476044476017,0.03544231690865529,4332.952338431656,1.27651698557434e-5,2.31497791844967e-5
s(Age),smooth,NA,NA,16.518739459682898,5.0439420231973564e-5,F.Coll._right,meanD_resid,0.0019216756255525178,-0.03082397025667183,0.028651084465886822,1193.8598503566734,2.612864605161578e-4,0.006570890848663448
s(Age),smooth,NA,NA,11.210629725723575,1.4914018747302915e-4,S.Or._right,SW,0.0050337757016454395,0.03080269886907927,0.03312268572325594,-205.0889969942222,6.323543948856436e-4,0.015101327104936318
s(Age),smooth,NA,NA,13.78155600847939,8.410554625304378e-6,S.F.sup._left,maxD_resid,5.86543329566368e-6,-0.030523623189862903,0.029705555895726654,1690.8811828300484,5.814252980101722e-5,6.661456385789466e-5
s(Age),smooth,NA,NA,12.987537469181063,3.097492553005843e-4,F.I.P._left,SL_resid,3.534122787720382e-4,-0.030452580705861432,0.03970140766876029,4544.741007093657,0.0012312532898198225,0.001745347026976146
s(Age),smooth,NA,NA,37.583592087734985,0,F.I.P._left,SW,4.508772968126646e-7,0.030348951829196502,0.06323436145253791,-183.8294093397526,0,7.168949019321367e-6
s(Age),smooth,NA,NA,17.069861286481252,3.829294225549118e-5,F.C.M.post._right,SW,0.005238592077725434,0.02956434813218156,0.03446282321164296,25.650861609072777,2.1363430942537183e-4,0.015568899819782132
s(Age),smooth,NA,NA,16.112576982050594,6.917679385565201e-5,F.Coll._left,CT,0.013605105616054344,-0.029562355640327387,0.027358862836232345,-130.85330770537132,3.437221944702709e-4,0.03277593625685819
s(Age),smooth,NA,NA,15.677520694181732,9.971255525120792e-5,F.C.M.ant._right,CT,0.0011469974697216542,-0.029204591144324832,0.03526962983274351,168.01661555900762,4.4039711902616835e-4,0.004394520426162483
s(Age),smooth,NA,NA,12.682334928003494,1.944181703157355e-4,S.Olf._right,SA_resid,3.0297126913034733e-5,-0.028325364361675653,0.027564595306710293,5474.0387731147885,7.926279251333832e-4,2.4086215895862613e-4
s(Age),smooth,NA,NA,15.556038076616717,8.271434144280221e-5,F.Cal.ant.-Sc.Cal._left,SA_resid,6.905634779752666e-6,-0.02681567492150705,0.024517144127898072,7009.158605728052,3.757594368401586e-4,7.319972866537825e-5
s(Age),smooth,NA,NA,15.52867400588778,7.990949607428188e-5,F.C.M.post._left,CT,0.012103049897431242,-0.026592528844133212,0.021878167263233883,-0.5053852598562116,3.7369440811208296e-4,0.030305274546323896
s(Age),smooth,NA,NA,15.936739155995681,6.519244240799082e-5,S.Pa.int._left,SW,0.012731904924002802,0.025811751378832848,0.04568549080291795,-219.00324978089174,3.2906661405938226e-4,0.03128867191624198
s(Age),smooth,NA,NA,12.867758141838124,3.3575147120978865e-4,F.P.O._right,SA_resid,2.8039822323366536e-5,-0.024974805738089412,0.023321901339550255,6775.250323347185,0.0013181354054902813,2.347437944339719e-4
s(Age),smooth,NA,NA,21.85259984213534,3.2351491878745975e-6,S.O.T.lat._left,CT,5.614859969713122e-4,-0.024770508340250963,0.02551339392472507,-136.64542042844025,2.7073090572213737e-5,0.0025507506719553894
s(Age),smooth,NA,NA,18.36550938327384,1.968087167786292e-5,S.F.sup._right,SW,0.004317620589235321,0.023791449393197772,0.03045386232994729,-292.7404085974008,1.1808523006717753e-4,0.013330129586182835
